usuario,id_ruta,tipo_error,link
jdaniel14,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0315926/-77.004777
jdaniel14,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0187743/-76.8981522
jdaniel14,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0190072/-76.8988501
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-11.9947924/-77.1175998
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-11.9964987/-77.1126618
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.0169013/-77.0982591
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.0194365/-77.1012509
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.0265776/-76.8934506
jdaniel14,4217348,4,www.openstreetmap.org/relation/4217348#map=19/-12.054681/-76.9647508
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.017045/-77.0981708
jdaniel14,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0290273/-76.9964366
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-11.9989159/-77.1212254
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-11.9947399/-77.117396
jdaniel14,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0298487/-77.094507
jdaniel14,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0199718/-77.1010006
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.031368/-77.0810207
jdaniel14,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0381435/-77.0380517
jdaniel14,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0298649/-77.0943819
jdaniel14,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0012099/-77.1060732
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.0288059/-76.9239989
jdaniel14,4217348,6,www.openstreetmap.org/relation/4217348#map=19/-12.0546468/-76.9646725
jdaniel14,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.035729/-77.0458068
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.0282754/-76.9234777
jdaniel14,4217348,4,www.openstreetmap.org/relation/4217348#map=19/-12.033002/-77.0538109
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.0313984/-77.0807617
GRPIAA3,4218929,1,www.openstreetmap.org/relation/4218929#map=19/-12.0607323/-77.1318339
GRPIAA3,4218929,1,www.openstreetmap.org/relation/4218929#map=19/-12.0460958/-77.0430896
