ID|NAME|TIPO|geom|idzona
4569|Rodrigo de Mazuelos|2|SRID=4326;LINESTRING (-77.070263 -12.088117,-77.071282 -12.087717)|0
4570|Tacna|5|SRID=4326;LINESTRING (-77.070263 -12.088117,-77.070617 -12.089104)|0
4575|Antonio Jose De Sucre|2|SRID=4326;LINESTRING (-77.070055 -12.090713,-77.070681 -12.09239)|0
4578|Libertad|5|SRID=4326;LINESTRING (-77.070681 -12.09239,-77.069717 -12.092729)|0
4582|Cuzco|2|SRID=4326;LINESTRING (-77.070617 -12.089104,-77.0696 -12.089488)|0
4590|Elmer Faucett|1|SRID=4326;LINESTRING (-77.09775 -12.055891,-77.097575 -12.057631)|0
4596|Circuito De Playas|1|SRID=4326;LINESTRING (-77.084739 -12.090852,-77.083548 -12.091558,-77.083433 -12.091671,-77.083446 -12.09179,-77.083517 -12.091876,-77.083636 -12.091886,-77.083779 -12.09182,-77.08441 -12.091425,-77.084952 -12.091173,-77.085137 -12.091151,-77.0852 -12.091163,-77.085262 -12.09124)|0
4598|Bajada Circuito De Playas|1|SRID=4326;LINESTRING (-77.067005 -12.101356,-77.067303 -12.101041,-77.06768 -12.100806,-77.068232 -12.100534,-77.069006 -12.10016,-77.069753 -12.099813,-77.0702 -12.09933,-77.070854 -12.099021,-77.071084 -12.098871,-77.071635 -12.098414,-77.071894 -12.097991,-77.071961 -12.097914,-77.072224 -12.097694,-77.07248 -12.097492,-77.072538 -12.097413,-77.072542 -12.09738,-77.072529 -12.097317,-77.072383 -12.096933)|0
4600|Ayacucho (Puente Y Cortez)|5|SRID=4326;LINESTRING (-77.070972 -12.086756,-77.068875 -12.087506)|0
4607|Guardia Chalaca|1|SRID=4326;LINESTRING (-77.125518 -12.060792,-77.125768 -12.060847,-77.127944 -12.059164,-77.130871 -12.057429,-77.130931 -12.057179)|0
10622|Jose Saco Rojas|5|SRID=4326;LINESTRING (-77.056057 -11.86214,-77.050842 -11.86051,-77.04846 -11.859763,-77.045985 -11.859016,-77.045038 -11.858687,-77.043022 -11.857969,-77.037188 -11.854243)|0
4616|Puno|5|SRID=4326;LINESTRING (-77.139839 -12.058619,-77.139679 -12.060314)|0
4618|Del Ejercito (Augusto Perez Aranibar|1|SRID=4326;LINESTRING (-77.071334 -12.097299,-77.062332 -12.100453)|0
4625|Reynaldo Saavedra Pinon|5|SRID=4326;LINESTRING (-77.070776 -12.054748,-77.069305 -12.054629)|0
4628|La Paz|5|SRID=4326;LINESTRING (-77.134255 -12.059106,-77.133493 -12.058169)|0
4631|Montezuma|5|SRID=4326;LINESTRING (-77.13852 -12.058734,-77.139839 -12.058619)|0
4633|Calle 7|5|SRID=4326;LINESTRING (-77.110648 -12.057756,-77.110312 -12.059385)|0
4637|Mariscal Jose La Mar|2|SRID=4326;LINESTRING (-77.074061 -12.076264,-77.065392 -12.078955)|0
4646|Guardia Chalaca|1|SRID=4326;LINESTRING (-77.128246 -12.058793,-77.130477 -12.057458)|0
4647|Federico Fernandini|5|SRID=4326;LINESTRING (-77.128246 -12.058793,-77.128981 -12.055797)|0
4651|Los Insurgentes|2|SRID=4326;LINESTRING (-77.105501 -12.056669,-77.104937 -12.059631)|0
4660|Zepita|2|SRID=4326;LINESTRING (-77.141336 -12.059809,-77.141311 -12.058262,-77.141192 -12.057915)|0
4661|Avenida 2|2|SRID=4326;LINESTRING (-77.108019 -12.060026,-77.107496 -12.058834,-77.107359 -12.058412,-77.107314 -12.057901,-77.107322 -12.057049)|0
4665|Juan Pablo II|2|SRID=4326;LINESTRING (-77.115917 -12.060781,-77.11461 -12.058886)|0
4673|Aguarico|2|SRID=4326;LINESTRING (-77.052806 -12.061717,-77.052727 -12.060439,-77.052665 -12.060081,-77.052473 -12.059693,-77.051741 -12.057328,-77.051741 -12.057126)|0
4677|Tacna (Norte)|5|SRID=4326;LINESTRING (-77.135533 -12.058785,-77.134446 -12.057416)|0
9276|Cangallo (Prol)|5|SRID=4326;LINESTRING (-77.021387 -12.060792,-77.021748 -12.058051)|0
4546|Montezuma|5|SRID=4326;LINESTRING (-77.137154 -12.058853,-77.135689 -12.058985)|0
4720|Almirante Miguel Grau|1|SRID=4326;LINESTRING (-77.136642 -12.061851,-77.135332 -12.061509)|0
4726|Saenz Penha|1|SRID=4326;LINESTRING (-77.134547 -12.059749,-77.136939 -12.060123)|0
4731|Colon|2|SRID=4326;LINESTRING (-77.133998 -12.060819,-77.136785 -12.061236)|0
4734|Apurimac|2|SRID=4326;LINESTRING (-77.13509 -12.063064,-77.136478 -12.063298)|0
4736|Contralmirante Villar|5|SRID=4326;LINESTRING (-77.136478 -12.063298,-77.135788 -12.067908)|0
4742|Almirante Miguel Grau|1|SRID=4326;LINESTRING (-77.152551 -12.066117,-77.151392 -12.065859)|0
4747|Mcal.  Agustin Gamarra|2|SRID=4326;LINESTRING (-77.15196 -12.064141,-77.152969 -12.064523)|0
4755|Coronel Francisco Bolognesi|2|SRID=4326;LINESTRING (-77.15873 -12.067668,-77.159415 -12.068205,-77.164819 -12.072579)|0
4762|Almirante Miguel Grau|2|SRID=4326;LINESTRING (-77.157594 -12.067961,-77.156801 -12.067364)|0
4766|Almirante Miguel Grau|2|SRID=4326;LINESTRING (-77.164239 -12.073301,-77.162897 -12.072254,-77.162217 -12.071705)|0
4769|Mcal.  Agustin Gamarra|2|SRID=4326;LINESTRING (-77.15396 -12.064912,-77.155181 -12.065589,-77.157178 -12.066851)|0
4759|German Medina|2|SRID=4326;LINESTRING (-77.164819 -12.072579,-77.164239 -12.073301)|0
4771|Almirante Miguel Grau|5|SRID=4326;LINESTRING (-77.16503 -12.073932,-77.164239 -12.073301)|0
4772|Malecon Pardo|5|SRID=4326;LINESTRING (-77.16503 -12.073932,-77.16481 -12.074192,-77.163795 -12.074429,-77.163371 -12.074373)|0
4761|Coronel Francisco Bolognesi|5|SRID=4326;LINESTRING (-77.164819 -12.072579,-77.165654 -12.073257)|0
4774|Malecon Pardo|5|SRID=4326;LINESTRING (-77.165654 -12.073257,-77.16503 -12.073932)|0
4773|Agustin Tovar|5|SRID=4326;LINESTRING (-77.163371 -12.074373,-77.161416 -12.072722)|0
4768|German Medina|5|SRID=4326;LINESTRING (-77.164239 -12.073301,-77.163371 -12.074373)|0
4756|Jose Galvez|5|SRID=4326;LINESTRING (-77.15873 -12.067668,-77.158127 -12.068412)|0
4758|Coronel Francisco Bolognesi|2|SRID=4326;LINESTRING (-77.15873 -12.067668,-77.158622 -12.067566,-77.158503 -12.067452,-77.158421 -12.067388,-77.15834 -12.067349,-77.158262 -12.067326,-77.15815 -12.06732,-77.158044 -12.067328,-77.157962 -12.067347)|0
4764|General Valle|5|SRID=4326;LINESTRING (-77.157594 -12.067961,-77.157717 -12.067761,-77.15785 -12.067543,-77.157962 -12.067347)|0
4763|Almirante Miguel Grau|2|SRID=4326;LINESTRING (-77.157594 -12.067961,-77.158127 -12.068412)|0
4743|Titicaca|5|SRID=4326;LINESTRING (-77.152551 -12.066117,-77.152969 -12.064523)|0
4751|Mcal.  Agustin Gamarra|2|SRID=4326;LINESTRING (-77.152969 -12.064523,-77.15396 -12.064912)|0
4765|Almirante Miguel Grau|1|SRID=4326;LINESTRING (-77.154742 -12.066533,-77.153608 -12.066291)|0
4744|Almirante Miguel Grau|1|SRID=4326;LINESTRING (-77.152551 -12.066117,-77.153608 -12.066291)|0
4770|Chanchamayo|5|SRID=4326;LINESTRING (-77.15396 -12.064912,-77.153608 -12.066291)|0
4552|Saenz Penha|1|SRID=4326;LINESTRING (-77.142953 -12.061009,-77.14699 -12.06166)|0
4777|Colon|2|SRID=4326;LINESTRING (-77.146858 -12.062734,-77.142815 -12.06212)|0
4781|Alberto Secada|5|SRID=4326;LINESTRING (-77.14672 -12.063751,-77.142686 -12.063215)|0
4785|Almirante Miguel Grau|1|SRID=4326;LINESTRING (-77.146605 -12.064614,-77.14394 -12.063931)|0
4557|Manco Capac|2|SRID=4326;LINESTRING (-77.148182 -12.059672,-77.148424 -12.059771,-77.148631 -12.059745)|0
4710|Jorge Chavez|2|SRID=4326;LINESTRING (-77.148631 -12.059745,-77.150812 -12.061585,-77.151139 -12.06187,-77.151253 -12.062079,-77.151274 -12.062267,-77.15121 -12.062858,-77.151203 -12.063088,-77.151154 -12.063422,-77.151168 -12.063596,-77.151218 -12.063742,-77.151324 -12.063867,-77.151469 -12.063965)|0
4711|Daniel Nieto|2|SRID=4326;LINESTRING (-77.148631 -12.059745,-77.14849 -12.060049,-77.148277 -12.060418,-77.148071 -12.060807,-77.147841 -12.061292,-77.147691 -12.061453,-77.147527 -12.061579,-77.147342 -12.061667,-77.147191 -12.06169,-77.147091 -12.061676)|0
4775|Paz Soldan|5|SRID=4326;LINESTRING (-77.14699 -12.06166,-77.146858 -12.062734)|0
4786|Almirante Miguel Grau|1|SRID=4326;LINESTRING (-77.146605 -12.064614,-77.14961 -12.065445)|0
4749|Estados Unidos|5|SRID=4326;LINESTRING (-77.15196 -12.064141,-77.151662 -12.065048)|0
4788|Fanning|5|SRID=4326;LINESTRING (-77.151469 -12.063965,-77.150973 -12.064932)|0
4790|Almirante Miguel Grau|1|SRID=4326;LINESTRING (-77.14961 -12.065445,-77.150586 -12.065679)|0
14858|Almirante Guisse|2|SRID=4326;LINESTRING (-77.141234 -12.061885,-77.141289 -12.060762)|0
4745|Almirante Miguel Grau|1|SRID=4326;LINESTRING (-77.151392 -12.065859,-77.150586 -12.065679)|0
4746|Estados Unidos|5|SRID=4326;LINESTRING (-77.151392 -12.065859,-77.151662 -12.065048)|0
4792|Fanning|5|SRID=4326;LINESTRING (-77.150586 -12.065679,-77.150973 -12.064932)|0
4748|Mcal.  Agustin Gamarra|2|SRID=4326;LINESTRING (-77.15196 -12.064141,-77.151469 -12.063965)|0
4778|Paz Soldan|5|SRID=4326;LINESTRING (-77.146858 -12.062734,-77.14672 -12.063751)|0
4782|Paz Soldan|5|SRID=4326;LINESTRING (-77.14672 -12.063751,-77.146605 -12.064614)|0
4789|Adolfo King|2|SRID=4326;LINESTRING (-77.147091 -12.061676,-77.147194 -12.061606,-77.147304 -12.061575,-77.147374 -12.06151,-77.147416 -12.061446,-77.14747 -12.061314,-77.147559 -12.061099,-77.147948 -12.06016,-77.148182 -12.059672)|0
4776|Adolfo King|5|SRID=4326;LINESTRING (-77.14699 -12.06166,-77.147091 -12.061676)|0
4614|Sucre|5|SRID=4326;LINESTRING (-77.139679 -12.060314,-77.141336 -12.059809)|0
4722|Contralmirante Villar|5|SRID=4326;LINESTRING (-77.136642 -12.061851,-77.136478 -12.063298)|0
4779|Marco Polo|2|SRID=4326;LINESTRING (-77.142815 -12.06212,-77.142686 -12.063215)|0
4793|Saenz Penha|1|SRID=4326;LINESTRING (-77.139658 -12.06052,-77.141289 -12.060762)|0
4798|Almirante Guisse|2|SRID=4326;LINESTRING (-77.141234 -12.061885,-77.141179 -12.063025)|0
4799|Colon|2|SRID=4326;LINESTRING (-77.138273 -12.061423,-77.141234 -12.061885)|0
