usuario,ruta,nombre_ruta,tipo1,tipo2,tipo3,tipo4,tipo5,tipo6,tipo7,tipo8,tipo9,tipo10,tipo11,tipo12,tipo13,tipo14,tipo15,tipo16,tipo17,tipo18,tipo19,tipo20
Ale,4480094,X-IM33-I,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4480142,X-IM34-I,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4480173,X-IM34B-I,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4480182,X-IM35-I,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4480192,X-IM40-I,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4486701,X-IM41_I,12,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4500153,X-IM55_I,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4510633,X-CR02-V,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4522126,X-IM51_I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4522205,X-IM51_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4522217,X-IM51_I,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4522321,X-IM52_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4522665,X-IM53_I,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4523915,X-IM54_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4525304,X-IM54_I,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4525408,X-IM57_I,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4537215,X-IO01_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4537820,X-IO03_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4538026,X-IO04_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4538948,X-IO06_I,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4540483,X-IO07_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4540969,X-IO09_I,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4542795,X-IO100_I,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4546164,X-IO11_I,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4546344,X-IO12_I,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4547081,X-IO13_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4552558,X-IO15_I,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4552717,X-IO18B_I,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4552970,X-IO18_I,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4553561,X-IO19_I,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4553831,X-IO20_I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4553981,X-IO23_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4554709,X-IO27_I,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4554819,X-IO28_I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4555083,X-IO28B_I,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4555747,X-IO30_I,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4555931,X-IO30B_I,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4557990,X-IO31_I,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4558489,X-IO32_I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4558599,X-IO32B_I,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4558930,X-IO33_I,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4560291,X-IO34_I,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4560452,X-IO35_I,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4560772,X-IO33B_I,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4561118,X-IO35B_I,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4561682,X-IO36_I,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4565752,X-IO37B_I,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4573174,X-IO38_I,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4573343,X-IO40_I,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4573844,X-IO41_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4573953,X-IO44B_I,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4577021,X-IO44_I,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4577222,X-IO45_I,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4577398,X-IO47_I,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4580670,X-IO49_I,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fio,4580910,X-IO50_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
